Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Refs
Seven,"October 31 – November 4, 1874",105 mph (165 km/h),Unknown,"Jamaica, Cuba, Bahamas",0,None,[2][48]
Five,"October 7 – 10, 1875",105 mph (165 km/h),Unknown,No land areas,0,None,[2][49]
Four,"September 29 – October 5, 1876",105 mph (165 km/h),Unknown,Nicaragua,0,Severe,[2][50]
Four,"August 25 – 30, 1878",105 mph (165 km/h),972 hPa (28.70 inHg),Bahamas,0,None,[2]
Five,"September 1 – 13, 1878",105 mph (165 km/h),970 hPa (28.64 inHg),"Leeward Islands, Haiti, Cuba, Florida, South Carolina, Ontario",9,Significant,[2][20][51][52]
Six,"September 12 – 18, 1878",105 mph (165 km/h),Unknown,No land areas,0,None,[2]
Eleven,"October 18 – 21, 1878",105 mph (165 km/h),963 hPa (28.44 inHg),"Cuba, Bahamas, North Carolina, Virginia, Delaware, Washington, D.C., Maryland, New York, Pennsylvania, New England",72,$2 million,[2][45][53][54]
Two,"August 19 – 24, 1879",105 mph (165 km/h),964 hPa (28.47 inHg),"Yucatán Peninsula, Texas, Louisiana",0,Unknown,[2][55]
Eight,"November 18 – 20, 1879",105 mph (165 km/h),968 hPa (28.59 inHg),Canada[nb 1],0,Minor,[2][56]
Four,"August 24 – September 1, 1880",105 mph (165 km/h),972 hPa (28.70 inHg),"Florida, Mississippi",68,Unknown,[2][57]
Five,"August 21 – 29, 1881",105 mph (165 km/h),970 hPa (28.64 inHg),"Georgia, Mississippi",700,Severe,[2][57][45]
Six,"September 7 – 11, 1881",105 mph (165 km/h),975 hPa (28.79 inHg),East Coast of the United States,0,Unknown,[2][58]
Four,"October 7 – 17, 1884",105 mph (165 km/h),980 hPa (28.94 inHg),"Jamaica, Cuba, Bahamas, Turks and Caicos Islands",8,Unknown,[2][59][60]
Two,"August 21 – 27, 1885",105 mph (165 km/h),953 hPa (28.14 inHg),"Bahamas, Florida, Georgia, South Carolina, North Carolina, Maryland",25,$1.8 million,[2][58][54][45]
One,"June 13 – 15, 1886",100 mph (155 km/h),997 hPa (29.44 inHg),"Texas, Louisiana",Unknown,Unknown,[2][61][62][63]
Two,"June 17 – 24, 1886",100 mph (155 km/h),Unknown,"Florida, Southeastern United States, Mid-Atlantic states",0,Severe,[2][57][64][61]
Three,"June 27 – July 4, 1886",100 mph (155 km/h),999 hPa (29.50 inHg),"Florida, North Carolina, Maryland",18,Unknown,[2][65][61]
Eight,"September 16 – 24, 1886",100 mph (155 km/h),973 hPa (28.73 inHg),"Cuba, Texas",0,Unknown,[2][20][66][61]
