Category,Name,Dates,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD)
4,Hurricane Flora,"October 2-3,1963",150 mph (240 km/h),,,,
4,Hurricane Cleo,"August 23-24,1964",130 mph (215 km/h),,,,
4,Hurricane Dora,"September 6,1964",130 mph (215 km/h),,,,
4,Hurricane Gladys,"September 17,1964",140 mph (220 km/h),,,,
4,Hurricane Hilda,"October 1-2,1964",140 mph (220 km/h),,,,
4,Hurricane Betsy,"September 4-9,1965",150 mph (240 km/h),,,,
4,Hurricane Inez,"September 28-October 9,1966",150 mph (240 km/h),,,,
4,Hurricane Carmen,"September 1-7,1974",140 mph (220 km/h),,,,
4,Hurricane Gladys,"October 2-3,1975",140 mph (220 km/h),,,,
4,Hurricane Ella,"September 4,1978",130 mph (215 km/h),,,,
4,Hurricane Greta,"September 18,1978",130 mph (215 km/h),,,,
4,Hurricane Frederic,"September 12-13,1979",130 mph (215 km/h),,,,
4,Hurricane Harvey,"September 14,1981",130 mph (215 km/h),,,,
4,Hurricane Debby,"September 18,1982",130 mph (215 km/h),,,,
4,Hurricane Diana,"September 11-12,1984",145 mph (230 km/h),,,,
4,Hurricane Gloria,"September 24-25,1985",145 mph (230 km/h),,,,
4,Hurricane Helene,"September 22-23,1988",145 mph (230 km/h),,,,
4,Hurricane Joan,"October 21-22,1988",145 mph (230 km/h),,,,
4,Hurricane Gabrielle,"September 4-7,1989",130 mph (215 km/h),,,,
4,Hurricane Claudette,"September 7,1991",140 mph (220 km/h),,,,
4,Hurricane Felix,"August 12-13,1995",150 mph (240 km/h),,,,
4,Hurricane Luis,"September 1-8,1995",150 mph (240 km/h),,,,
4,Hurricane Opal,"October 4,1995",145 mph (230 km/h),,,,
4,Hurricane Edouard,"August 25-28,1996",140 mph (220 km/h),,,,
4,Hurricane Hortense,"September 12-13,1996",155 mph (250 km/h),,,,
4,Hurricane Georges,"September 19-20,1998",145 mph (230 km/h),,,,
4,Hurricane Bret,"August 22,1999",140 mph (220 km/h),,,,
4,Hurricane Cindy,"August 28-29,1999",155 mph (250 km/h),,,,
4,Hurricane Floyd,"September 12-14,1999",150 mph (240 km/h),,,,
4,Hurricane Gert,"September 15-17,1999",155 mph (250 km/h),,,,
4,Hurricane Lenny,"November 17-18,1999",140 mph (220 km/h),,,,
4,Hurricane Isaac,"September 28-29,2000",140 mph (220 km/h),,,,
4,Hurricane Keith,"October 1,2000",145 mph (230 km/h),,,,
4,Hurricane Iris,"October 8-9,2001",140 mph (220 km/h),,,,
4,Hurricane Michelle,"November 3-4,2001",145 mph (230 km/h),,,,
4,Hurricane Lili,"October 2-3,2002",145 mph (230 km/h),,,,
4,Hurricane Fabian,"August 31-September 5,2003",150 mph (240 km/h),,,,
4,Hurricane Charley,"August 13,2004",145 mph (230 km/h),,,,
4,Hurricane Frances,"August 28-September 2,2004",145 mph (230 km/h),,,,
4,Hurricane Karl,"September 20-21,2004",150 mph (240 km/h),,,,
4,Hurricane Dennis,"July 8-10,2005",155 mph (250 km/h),,,,
4,Hurricane Gustav,"August 30-31,2008",145 mph (230 km/h),,,,
4,Hurricane Ike,"September 4-8,2008",130 mph (215 km/h),,,,
4,Hurricane Omar,"October 16,2008",145 mph (230 km/h),,,,
4,Hurricane Paloma,"November 8,2008",130 mph (215 km/h),,,,
4,Hurricane Bill,"August 19-20,2009",130 mph (215 km/h),,,,
4,Hurricane Danielle,"August 27,2010",145 mph (230 km/h),,,,
4,Hurricane Earl,"August 30-September 2,2010",155 mph (250 km/h),,,,
4,Hurricane Igor,"September 12-17,2010",140 mph (220 km/h),,,,
